id, x, y, freq, label
157, -2.325236, -2.571010, 98, freeman
158, -67.575584, -11.869100, 24, transorbital
159, -1.819575, -9.180021, 60, lobotomy
160, 33.207718, 12.991985, 12, procedure
161, -3.222493, -31.923849, 102, frances
162, -5.250457, -11.771415, 380, farmer
163, -8.990645, -14.028410, 174, second
164, -7.464392, -10.440237, 138, avenue
165, -7.454368, -10.501440, 96, south
166, -10.460327, -11.434289, 246, street
167, 0.863088, -1.774142, 92, garden
168, -6.577693, -59.255451, 52, allah
169, -5.755039, -7.525530, 182, chief
170, -1.818961, -43.715805, 48, frank
171, -1.622105, -43.832836, 60, ramon
172, -16.496883, -0.725912, 176, mayor
173, -51.291882, 5.475310, 16, dorm
174, -48.522453, -19.386612, 28, braman
175, -59.041573, -13.611636, 24, mineo
176, 5.013083, -53.830082, 42, katagiri
177, 5.486497, -16.782768, 70, peter
178, -32.308617, -58.269897, 34, wichern
179, -9.716336, -58.746552, 42, cover
180, -2.317183, -18.543997, 86, magazine
181, -15.511581, -4.171199, 350, dorian
182, -14.550303, -50.268528, 36, columns
183, -45.966839, 6.937325, 16, ladder
184, -16.278637, -0.597102, 206, letter
185, -12.554396, 7.770086, 634, women
186, -29.472807, -41.378551, 48, resource
187, -20.676342, -0.970609, 286, center
188, -42.831310, 28.428343, 14, laurie
189, -49.436203, -27.499783, 22, morton
190, -61.061604, -1.261415, 18, tamara
191, -51.948246, -22.044348, 26, turner
192, -47.472775, -49.881840, 24, cindy
193, -30.606760, -44.416546, 32, gipple
194, -21.620661, -0.671285, 1258, lesbian
195, -24.842287, 35.824707, 12, separatists
196, -30.897648, -62.057629, 38, target
197, 6.986518, -46.063217, 38, freeway
198, -8.460003, -53.829151, 44, faygele
199, -6.841500, -52.432808, 48, benmiriam
200, 3.118199, -19.271477, 58, patrick
201, -5.674153, -49.007763, 40, haggerty
202, 52.715927, -12.032620, 10, flier
203, -21.907318, -50.023006, 6, w
204, -5.859775, -34.908123, 70, students
205, -14.726942, -48.746799, 56, alliance
206, -4.699062, -0.757168, 96, dancing
207, 10.069550, -37.817924, 52, double
208, 2.121038, -56.572571, 46, header
209, 7.069583, -14.567074, 40, shelly
210, 4.978790, -29.842525, 58, disco
211, -4.822031, -31.514212, 62, union
212, -3.820202, 9.555071, 474, sexual
213, -0.147978, -25.310110, 96, minorities
214, -65.323868, 3.551541, 20, brass
215, 5.223816, 2.046758, 102, door
216, -1.273118, -13.194017, 112, tielsch
217, -5.229729, -26.949631, 122, charlie
218, -15.300963, -3.139407, 296, brydon
219, 0.515483, -7.188591, 160, campaign
220, 2.357183, -32.592880, 58, victory
221, 42.832062, -12.173594, 10, liberationist
222, -20.584312, 0.946824, 410, march
223, -20.639423, 0.349032, 248, pride
224, 10.659715, -25.818495, 58, road
225, -57.209553, -13.951502, 22, condom
226, -37.709084, -54.040264, 30, campaigns
227, -5.895253, 6.206070, 158, act
228, -36.088039, 17.322300, 16, marchers
229, -11.720551, 2.057087, 96, carol
230, -15.148616, -60.975395, 28, sterling
231, -38.065155, 26.895494, 16, betsy
232, -53.706573, -23.170351, 22, lieberman
233, 1.168168, -49.564583, 36, norm
234, -55.046104, 23.860689, 14, rice
235, 20.853897, 35.009346, 10, stamper
236, 30.817898, 37.916992, 6, bigot
237, 44.408508, 27.567722, 6, busters
238, -13.329675, -11.134551, 210, anderson
239, -48.828335, -30.601608, 22, eric
240, -20.736658, 55.622082, 10, ishino
241, 3.456910, 2.226444, 170, started
242, -6.562572, -1.383102, 242, work
243, -6.988128, -54.760788, 70, fall
244, -0.466125, 3.459403, 170, thought
245, -20.695156, -0.612476, 154, project
246, 4.157749, 7.385514, 2060, would
247, -46.519608, 33.520744, 14, quick
248, -53.369083, -37.820999, 30, maybe
249, 10.308892, 2.347673, 276, year
250, -7.258316, 57.546848, 10, narrative
251, 43.186726, -55.131634, 6, journalist
252, -36.931480, -55.192707, 30, passion
253, -59.839439, -16.266211, 12, sto
254, -54.468918, 11.197104, 12, ries
255, 2.468348, -21.777014, 84, real
256, 1.747683, -6.434407, 96, individuals
257, -53.874283, 10.670114, 16, struggles
258, 9.363474, 48.586575, 8, reflections
259, -8.588283, 54.362164, 10, bigger
260, 0.115231, -10.844598, 84, questions
261, -12.335421, -16.138359, 326, case
262, 8.476685, -29.695711, 84, question
263, -15.401535, -3.417747, 446, group
264, -6.663499, -3.401591, 158, citizens
265, 28.839197, 3.836479, 8, marginalized
266, 7.870620, -10.073721, 94, decades
267, 2.992021, -51.052650, 50, spent
268, -56.038136, -44.003826, 30, closeted
269, -9.976834, 9.939386, 472, public
270, 5.417410, -42.299969, 52, voice
271, 8.614373, -23.250467, 88, words
272, 29.151791, 45.191479, 10, reaching
273, 1.953468, -22.316328, 88, sense
274, 0.923744, 1.695730, 236, home
275, -59.657295, -27.493376, 32, figured
276, -48.378120, 23.391918, 16, historians
277, -1.492893, 1.667281, 212, already
278, 8.589709, -27.028902, 82, done
279, -0.655752, -25.680241, 86, jobs
280, 4.273451, -43.208290, 52, view
281, -1.155997, 5.149745, 154, important
282, -38.594299, -58.043804, 32, events
283, -19.713032, -57.470123, 42, available
284, -18.358273, -62.338245, 34, easy
285, -3.837071, 7.301779, 212, enough
